Evaluasi Vendor 2026,,,,,,,,,
,,,,,,,,,
No,Event,BULAN,Tgl Event,Vendor,Barang / Jasa,Alamat,NILAI,HURUF,REKOMENDASI
,BKMS OUTING 2026,Apr-26,16-19 April 2026,Dexter Band,Talent,Yogyakarta,91.00,A,Sangat Direkomendasikan
,BKMS OUTING 2026,Apr-26,16-19 April 2026,Dion Game Master,Activity,Yogyakarta,76.00,B,Direkomendasikan
,BKMS OUTING 2026,Apr-26,16-19 April 2026,Gerbera Photobooth,Photobooth,Yogyakarta,91.00,A,Sangat Direkomendasikan
,BKMS OUTING 2026,Apr-26,16-19 April 2026,Gusti Jog Galerry,Activity,Yogyakarta,86.00,A,Sangat Direkomendasikan
,BKMS OUTING 2026,Apr-26,16-19 April 2026,Jogja Dekoration,Decoration,Yogyakarta,47.00,D,Pertimbangkan Alternatif
,BKMS OUTING 2026,Apr-26,16-19 April 2026,Klapa Production,Show Management,Yogyakarta,84.00,B,Direkomendasikan
,BKMS OUTING 2026,Apr-26,16-19 April 2026,Lumicos,Documentation,Yogyakarta,91.00,A,Sangat Direkomendasikan
,BKMS OUTING 2026,Apr-26,16-19 April 2026,Manohara Resto,Resto,Magelang,58.00,C,Perlu Evaluasi
,BKMS OUTING 2026,Apr-26,16-19 April 2026,Mozza Production,Multimedia,Yogyakarta,84.00,B,Direkomendasikan
,BKMS OUTING 2026,Apr-26,16-19 April 2026,Phoenix Multimedia,Multimedia,Yogyakarta,85.00,A,Sangat Direkomendasikan
,BKMS OUTING 2026,Apr-26,16-19 April 2026,Pragina Gong,Talent,Yogyakarta,91.00,A,Sangat Direkomendasikan
,BKMS OUTING 2026,Apr-26,16-19 April 2026,Rama Shinta Resto,Resto,Yogyakarta,68.00,C,Perlu Evaluasi
,BKMS OUTING 2026,Apr-26,16-19 April 2026,Srawung Resto,Resto,Yogyakarta,89.00,A,Sangat Direkomendasikan
,BKMS OUTING 2026,Apr-26,16-19 April 2026,TBA Event Support,Event Support,Yogyakarta,91.00,A,Sangat Direkomendasikan
,BKMS OUTING 2026,Apr-26,16-19 April 2026,VW Borobudur,Activity,Magelang,68.00,C,Perlu Evaluasi
,BKMS OUTING 2026,Apr-26,16-19 April 2026,Weekend Worker,Activity,Salatiga,78.00,B,Direkomendasikan
,BKMS OUTING 2026,Apr-26,16-19 April 2026,Wijil Rachmadhani,Talent,Yogyakarta,86.00,A,Sangat Direkomendasikan
,,,,,,,,,
19,"ASSERTIVE COMMUNICATION TRAINING FORBKMS OUTING 2026",Apr-26,16-19 April 2026,Biro Psikologi Bangun Jiwa,Talent,Yogyakarta,86.00,A,Sangat Direkomendasikan
,,,,,,,,,
20,WB - WORKSHOP ON BUSINESS LICENSING AND INSPECTIONS MATURITY ASSESSMENT (BLIMS) TECHNICAL MISSION FOR FINAL REPORT PREPARATION,Mei 2026,5-6 Mei 2026,Phoenix Multimedia,Multimedia,Yogyakarta,91.00,A,Sangat Direkomendasikan
,WB - WORKSHOP ON BUSINESS LICENSING AND INSPECTIONS MATURITY ASSESSMENT (BLIMS) TECHNICAL MISSION FOR FINAL REPORT PREPARATION,Mei 2026,5-6 Mei 2026,TBA Event Support,Manpower,Yogyakarta,90.00,A,Sangat Direkomendasikan
,WB - WORKSHOP ON BUSINESS LICENSING AND INSPECTIONS MATURITY ASSESSMENT (BLIMS) TECHNICAL MISSION FOR FINAL REPORT PREPARATION,Mei 2026,5-6 Mei 2026,Tekno Event Asia,Equipment,Jakarta,85.00,A,Sangat Direkomendasikan
,,,,,,,,,
21,UOB INDONESIA - BOC MEETING,Mei 2026,11-13 Mei 2026,Kreasi Muda Indonesia,Production,Medan,76.00,B,Direkomendasikan
,UOB INDONESIA - BOC MEETING,Mei 2026,11-13 Mei 2026,Om Bob,Transfer Handling,Medan,76.00,B,Direkomendasikan
,UOB INDONESIA - BOC MEETING,Mei 2026,11-13 Mei 2026,PT. Seribu Nusantara Rental,Transport,Medan,81.00,B,Direkomendasikan
,,,,,,,,,
22,WORLD BANK WORKSHOP SENTUL ,Juni 2026,4-5 Juni 2026,Enigma Intertama,Production,Jakarta,86.00,A,Sangat Direkomendasikan
,WORLD BANK WORKSHOP SENTUL ,Juni 2026,4-5 Juni 2026,Tekno Event Asia,Intepreter,Jakarta,80.00,B,Direkomendasikan
,WORLD BANK WORKSHOP SENTUL ,Juni 2026,4-5 Juni 2026,TBA Event Support,Manpower,Yogyakarta,80.00,B,Direkomendasikan
,,,,,,,,,
23,ILO SITE VISIT & ERP LAUNCHING 2026,Juni 2026,10-11 Juni 2026,86 Production,Production,Surabaya,90.00,A,Sangat Direkomendasikan
,ILO SITE VISIT & ERP LAUNCHING 2026,Juni 2026,10-11 Juni 2026,Sonokembang Catering,Catering,Yogyakarta,80.00,B,Direkomendasikan
